type,year,country,series,value,id,image,feature,volume
CC,2017,San Marino,CC-2017,2.0,CC2017SMR-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_SanMarino_Turismo.jpg,International Year of Sustainable Tourism for Development,"The United Nations General Assembly approved the adoption of 2017 as the International Year of Sustainable Tourism for Development. The idea of sustainable Tourism indicates a kind of travelling that respects the planet, it doesn’t alter the natural, social and artistic environment and it doesn’t inhibit the growth of social and economic activities. It is a kind of tourism opposite to mass tourism and it tends to promote the weakest economies. The Republic of San Marino dedicated a 2 euro commemorative coin, designed by the Canadian artist Andrew Lewis to this theme, in order to promote a new mentality and to encourage tourists’ respect for environment. The coin’s outer ring bears the 12 stars of the European Union."
CC,2017,San Marino,CC-2017,2.0,CC2017SMR-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_san_marino_giotto.jpg,750th anniversary of the birth of Giotto,80 000 coins
CC,2017,Lithuania,CC-2017,2.0,CC2017LTU-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Lithuania_Vilnius.jpg,Vilnius,1 000 000 coins
CC,2017,Estonia,CC-2017,2.0,CC2017EST-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Estonia_Independence.jpg,Estonia's Independence,1 500 000 coins
CC,2017,Greece,CC-2017,2.0,CC2017GRC-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Greece_Nikos.jpg,60 years in memoriam of Nikos Kazantzakis,750 000 coins
CC,2017,Greece,CC-2017,2.0,CC2017GRC-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Greece_Philippi.jpg,Archaeological site of Philippi,750 000 coins
CC,2017,Italy,CC-2017,2.0,CC2017ITA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_Italy_Titus.jpg,Bimillenary of the death of Titus Livius,1.5 million coins
CC,2017,Italy,CC-2017,2.0,CC2017ITA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_italy_venice.jpg,400th Anniversary of the completion of the Basilica of San Marco in Venice,1.5 million coins
CC,2017,Spain,CC-2017,2.0,CC2017ESP-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_spain_asturias.jpg,Unesco’s World Cultural and Natural Heritage Sites – Churches of the Kingdom of Asturias,4 million coins
CC,2017,Germany,CC-2017,2.0,CC2017DEU-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_germany_rhineland.jpg,Rhineland-Palatinate (‘Federal States’ (Bundesländer) series),30 million coins
CC,2017,Slovakia,CC-2017,2.0,CC2017SVK-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_slovakia_university.jpg,The 550th anniversary of the University Istropolitana,1 million coins
CC,2017,Slovenia,CC-2017,2.0,CC2017SVN-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2017/comm_2017_slovenia_anniversary.jpg,The 10th anniversary of the euro in Slovenia,1 million coins
CC,2018,Andorra,CC-2018,2.0,CC2018AND-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_andorra_70yrs_declhumrights.jpg,70 years of the Universal Declaration of Human Rights,75 000 coins
CC,2018,Andorra,CC-2018,2.0,CC2018AND-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_andorra-25const.jpg,25th anniversary of the Andorran Constitution,75 000 coins
CC,2018,Malta,CC-2018,2.0,CC2018MLT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_malta_culherit.jpg,Cultural Heritage,320 000 coins
